project_name	source_repository	source_url
receipt-books-craft	rutaabali3/receipt-books-craft	https://github.com/rutaabali3/receipt-books-craft
invoice-books-craft	rutaabali3/invoice-books-craft	https://github.com/rutaabali3/invoice-books-craft
order-books-craft	rutaabali3/order-books-craft	https://github.com/rutaabali3/order-books-craft
visitor-books-craft	rutaabali3/visitor-books-craft	https://github.com/rutaabali3/visitor-books-craft
attendance-registers-craft	rutaabali3/attendance-registers-craft	https://github.com/rutaabali3/attendance-registers-craft
logbooks-craft	rutaabali3/logbooks-craft	https://github.com/rutaabali3/logbooks-craft
notepads-craft	rutaabali3/notepads-craft	https://github.com/rutaabali3/notepads-craft
business-card-holders-craft	rutaabali3/business-card-holders-craft	https://github.com/rutaabali3/business-card-holders-craft
mailing-labels-craft	rutaabali3/mailing-labels-craft	https://github.com/rutaabali3/mailing-labels-craft
address-labels-craft	rutaabali3/address-labels-craft	https://github.com/rutaabali3/address-labels-craft
shipping-labels-craft	rutaabali3/shipping-labels-craft	https://github.com/rutaabali3/shipping-labels-craft
packing-envelopes-craft	rutaabali3/packing-envelopes-craft	https://github.com/rutaabali3/packing-envelopes-craft
document-bags-craft	rutaabali3/document-bags-craft	https://github.com/rutaabali3/document-bags-craft
rubber-stamps-craft	rutaabali3/rubber-stamps-craft	https://github.com/rutaabali3/rubber-stamps-craft
stamp-pads-craft	rutaabali3/stamp-pads-craft	https://github.com/rutaabali3/stamp-pads-craft
gift-pens-craft	rutaabali3/gift-pens-craft	https://github.com/rutaabali3/gift-pens-craft
executive-notebooks-craft	rutaabali3/executive-notebooks-craft	https://github.com/rutaabali3/executive-notebooks-craft
leather-journals-craft	rutaabali3/leather-journals-craft	https://github.com/rutaabali3/leather-journals-craft
personalized-diaries-craft	rutaabali3/personalized-diaries-craft	https://github.com/rutaabali3/personalized-diaries-craft
stationery-gift-sets-craft	rutaabali3/stationery-gift-sets-craft	https://github.com/rutaabali3/stationery-gift-sets-craft
writing-sets-craft	rutaabali3/writing-sets-craft	https://github.com/rutaabali3/writing-sets-craft
calligraphy-sets-craft	rutaabali3/calligraphy-sets-craft	https://github.com/rutaabali3/calligraphy-sets-craft
desk-gift-sets-craft	rutaabali3/desk-gift-sets-craft	https://github.com/rutaabali3/desk-gift-sets-craft
letter-writing-sets-craft	rutaabali3/letter-writing-sets-craft	https://github.com/rutaabali3/letter-writing-sets-craft
wax-seals-craft	rutaabali3/wax-seals-craft	https://github.com/rutaabali3/wax-seals-craft
greeting-cards-craft	rutaabali3/greeting-cards-craft	https://github.com/rutaabali3/greeting-cards-craft
thank-you-cards-craft	rutaabali3/thank-you-cards-craft	https://github.com/rutaabali3/thank-you-cards-craft
invitation-cards-craft	rutaabali3/invitation-cards-craft	https://github.com/rutaabali3/invitation-cards-craft
gift-tags-craft	rutaabali3/gift-tags-craft	https://github.com/rutaabali3/gift-tags-craft
